DATE,CPIEMEDCARE_PC1
1983-12-01,6.20000
1984-01-01,6.13861
1984-02-01,6.07248
1984-03-01,6.15234
1984-04-01,6.13437
1984-05-01,6.21963
1984-06-01,6.20155
1984-07-01,6.26204
1984-08-01,6.02871
1984-09-01,6.01145
1984-10-01,6.07787
1984-11-01,6.14367
1984-12-01,6.12053
1985-01-01,5.87687
1985-02-01,5.54017
1985-03-01,5.79577
1985-04-01,5.96330
1985-05-01,6.12992
1985-06-01,6.38686
1985-07-01,6.34633
1985-08-01,6.58845
1985-09-01,6.75068
1985-10-01,6.71441
1985-11-01,6.85663
1985-12-01,6.92103
1986-01-01,7.13656
1986-02-01,7.52406
1986-03-01,7.73913
1986-04-01,7.87879
1986-05-01,7.84483
1986-06-01,7.89022
1986-07-01,8.01364
1986-08-01,7.95936
1986-09-01,8.01012
1986-10-01,8.13758
1986-11-01,8.00000
1986-12-01,8.13278
1987-01-01,7.73026
1987-02-01,7.24166
1987-03-01,6.94108
1987-04-01,6.74157
1987-05-01,6.63469
1987-06-01,6.51828
1987-07-01,6.39305
1987-08-01,6.11765
1987-09-01,6.01093
1987-10-01,5.81846
1987-11-01,5.63272
1987-12-01,5.29547
1988-01-01,5.72519
1988-02-01,5.84219
1988-03-01,5.96226
1988-04-01,6.01504
1988-05-01,6.29685
1988-06-01,6.19403
1988-07-01,6.60237
1988-08-01,6.72579
1988-09-01,6.92194
1988-10-01,7.18475
1988-11-01,7.30460
1988-12-01,7.50729
1989-01-01,7.65343
1989-02-01,7.95699
1989-03-01,8.04843
1989-04-01,8.15603
1989-05-01,8.11001
1989-06-01,8.50316
1989-07-01,8.42032
1989-08-01,8.65651
1989-09-01,8.47107
1989-10-01,8.54993
1989-11-01,8.98570
1989-12-01,9.01695
1990-01-01,9.05433
1990-02-01,9.16335
1990-03-01,9.49242
1990-04-01,9.70492
1990-05-01,10.04566
1990-06-01,10.10363
1990-07-01,10.39795
1990-08-01,10.70746
1990-09-01,10.92063
1990-10-01,11.09011
1990-11-01,11.05559
1990-12-01,11.25622
1991-01-01,11.25461
1991-02-01,11.25304
1991-03-01,11.01746
1991-04-01,10.69934
1991-05-01,10.31417
1991-06-01,10.11765
1991-07-01,9.70930
1991-08-01,9.44157
1991-09-01,9.38752
1991-10-01,8.96200
1991-11-01,8.66142
1991-12-01,8.49637
1992-01-01,8.29187
1992-02-01,8.20120
1992-03-01,8.02603
1992-04-01,7.93737
1992-05-01,7.79151
1992-06-01,7.53205
1992-07-01,7.36619
1992-08-01,6.99632
1992-09-01,6.80272
1992-10-01,6.87142
1992-11-01,6.78054
1992-12-01,6.59454
1993-01-01,6.58499
1993-02-01,6.36685
1993-03-01,6.02410
1993-04-01,6.05303
1993-05-01,6.33101
1993-06-01,6.30899
1993-07-01,6.21915
1993-08-01,6.19469
1993-09-01,6.12445
1993-10-01,6.03994
1993-11-01,5.81677
1993-12-01,5.70324
1994-01-01,5.45977
1994-02-01,5.32067
1994-03-01,5.30303
1994-04-01,5.37736
1994-05-01,5.06329
1994-06-01,5.04673
1994-07-01,5.11152
1994-08-01,5.13889
1994-09-01,5.17082
1994-10-01,5.23656
1994-11-01,5.26798
1994-12-01,5.44124
1995-01-01,5.40418
1995-02-01,5.32251
1995-03-01,5.26079
1995-04-01,4.96867
1995-05-01,4.81928
1995-06-01,4.67082
1995-07-01,4.42087
1995-08-01,4.35931
1995-09-01,4.25812
1995-10-01,4.05936
1995-11-01,4.00348
1995-12-01,3.81613
1996-01-01,3.79147
1996-02-01,3.64026
1996-03-01,3.54549
1996-04-01,3.49680
1996-05-01,3.49085
1996-06-01,3.44241
1996-07-01,3.42930
1996-08-01,3.29114
1996-09-01,3.11579
1996-10-01,3.02013
1996-11-01,2.92887
1996-12-01,2.71512
1997-01-01,2.61519
1997-02-01,2.47934
1997-03-01,2.55776
1997-04-01,2.59580
1997-05-01,2.63266
1997-06-01,2.62942
1997-07-01,2.41506
1997-08-01,2.36928
1997-09-01,2.36831
1997-10-01,2.28013
1997-11-01,2.31707
1997-12-01,2.68402
1998-01-01,2.58900
1998-02-01,2.78226
1998-03-01,2.77554
1998-04-01,2.97189
1998-05-01,3.08617
1998-06-01,3.20256
1998-07-01,3.35731
1998-08-01,3.55148
1998-09-01,3.70961
1998-10-01,3.70223
1998-11-01,3.65515
1998-12-01,3.56436
1999-01-01,3.74606
1999-02-01,3.68772
1999-03-01,3.71820
1999-04-01,3.66615
1999-05-01,3.53810
1999-06-01,3.60745
1999-07-01,3.63496
1999-08-01,3.62235
1999-09-01,3.57692
1999-10-01,3.60845
1999-11-01,3.71790
1999-12-01,3.78585
2000-01-01,3.68681
2000-02-01,3.82142
2000-03-01,3.96226
2000-04-01,3.98796
2000-05-01,4.01802
2000-06-01,4.19319
2000-07-01,4.17910
2000-08-01,4.31387
2000-09-01,4.41886
2000-10-01,4.40904
2000-11-01,4.32373
2000-12-01,4.34783
2001-01-01,4.69208
2001-02-01,4.84694
2001-03-01,4.86388
2001-04-01,4.92041
2001-05-01,4.90975
2001-06-01,4.92275
2001-07-01,4.83524
2001-08-01,4.88414
2001-09-01,4.87198
2001-10-01,5.00355
2001-11-01,5.13638
2001-12-01,5.01412
2002-01-01,4.97199
2002-02-01,4.76190
2002-03-01,4.70751
2002-04-01,4.68966
2002-05-01,4.81762
2002-06-01,4.55479
2002-07-01,4.95388
2002-08-01,4.72468
2002-09-01,4.64564
2002-10-01,4.83271
2002-11-01,5.02022
2002-12-01,5.04371
2003-01-01,4.70314
2003-02-01,4.57863
2003-03-01,4.36364
2003-04-01,4.15020
2003-05-01,4.10374
2003-06-01,4.12709
2003-07-01,3.97135
2003-08-01,3.99221
2003-09-01,4.11536
2003-10-01,3.80400
2003-11-01,3.62528
2003-12-01,3.80922
2004-01-01,3.85473
2004-02-01,4.21954
2004-03-01,4.52962
2004-04-01,4.64896
2004-05-01,4.63576
2004-06-01,4.71846
2004-07-01,4.53976
2004-08-01,4.43196
2004-09-01,4.38842
2004-10-01,4.50311
2004-11-01,4.39628
2004-12-01,4.22448
2005-01-01,4.23313
2005-02-01,4.29224
2005-03-01,4.18182
2005-04-01,4.14022
2005-05-01,4.12899
2005-06-01,3.99519
2005-07-01,4.07308
2005-08-01,3.85535
2005-09-01,3.78652
2005-10-01,3.92273
2005-11-01,4.27046
2005-12-01,4.08284
2006-01-01,3.85521
2006-02-01,3.82370
2006-03-01,3.95579
2006-04-01,4.00464
2006-05-01,3.99421
2006-06-01,3.89948
2006-07-01,3.82734
2006-08-01,4.05755
2006-09-01,4.02183
2006-10-01,3.77466
2006-11-01,3.38453
2006-12-01,3.29733
2007-01-01,4.03825
2007-02-01,4.01462
2007-03-01,3.70425
2007-04-01,3.71987
2007-05-01,3.65321
2007-06-01,3.65666
2007-07-01,3.96591
2007-08-01,4.08158
2007-09-01,4.14085
2007-10-01,4.46680
2007-11-01,4.73370
2007-12-01,4.94194
2008-01-01,4.69398
2008-02-01,4.37889
2008-03-01,4.41616
2008-04-01,4.15622
2008-05-01,3.99596
2008-06-01,3.96161
2008-07-01,3.43500
2008-08-01,3.21581
2008-09-01,3.16181
2008-10-01,2.81897
2008-11-01,2.62827
2008-12-01,2.60017
2009-01-01,2.55759
2009-02-01,2.74612
2009-03-01,2.74207
2009-04-01,2.96811
2009-05-01,3.15744
2009-06-01,3.10713
2009-07-01,3.16268
2009-08-01,3.27934
2009-09-01,3.44407
2009-10-01,3.45564
2009-11-01,3.43935
2009-12-01,3.27672
2010-01-01,3.37962
2010-02-01,3.49710
2010-03-01,3.59993
2010-04-01,3.46499
2010-05-01,3.28655
2010-06-01,3.39182
2010-07-01,3.20013
2010-08-01,3.12188
2010-09-01,3.33288
2010-10-01,3.25516
2010-11-01,3.14981
2010-12-01,3.24923
2011-01-01,2.89739
2011-02-01,2.93745
2011-03-01,2.80385
2011-04-01,2.92372
2011-05-01,3.04531
2011-06-01,2.99257
2011-07-01,3.21661
2011-08-01,3.20671
2011-09-01,2.86850
2011-10-01,3.11772
2011-11-01,3.30502
2011-12-01,3.42356
2012-01-01,3.47636
2012-02-01,3.25342
2012-03-01,3.27451
2012-04-01,3.22720
2012-05-01,3.32451
2012-06-01,3.54520
2012-07-01,3.69827
2012-08-01,3.61317
2012-09-01,3.62053
2012-10-01,3.32273
2012-11-01,2.98217
2012-12-01,2.76123
2013-01-01,2.71084
2013-02-01,2.65924
2013-03-01,2.66857
2013-04-01,2.37194
2013-05-01,1.88087
2013-06-01,1.88641
2013-07-01,1.66218
2013-08-01,2.05144
2013-09-01,2.07832
2013-10-01,2.02663
2013-11-01,1.98150
2013-12-01,1.78249
2014-01-01,1.85242
2014-02-01,2.07661
2014-03-01,2.01527
2014-04-01,2.28489
2014-05-01,2.74107
2014-06-01,2.55284
2014-07-01,2.57832
2014-08-01,2.09215
2014-09-01,2.05347
2014-10-01,2.13395
2014-11-01,2.54704
2014-12-01,3.07137
2015-01-01,2.75541
2015-02-01,2.36888
2015-03-01,2.50355
2015-04-01,2.89652
2015-05-01,2.81188
2015-06-01,2.53251
2015-07-01,2.53672
2015-08-01,2.54392
2015-09-01,2.49467
2015-10-01,2.91958
2015-11-01,2.88631
2015-12-01,2.53079
2016-01-01,2.95336
2016-02-01,3.47376
2016-03-01,3.26981
2016-04-01,2.99458
2016-05-01,3.06532
2016-06-01,3.42227
2016-07-01,3.77293
2016-08-01,4.71472
2016-09-01,4.76457
2016-10-01,4.24032
2016-11-01,3.94449
2016-12-01,4.01582
2017-01-01,3.81111
2017-02-01,3.50534
2017-03-01,3.40406
2017-04-01,2.82238
2017-05-01,2.58735
2017-06-01,2.58852
2017-07-01,2.47819
2017-08-01,1.78804
2017-09-01,1.50702
2017-10-01,1.61342
2017-11-01,1.61284
2017-12-01,1.73386
2018-01-01,1.93850
2018-02-01,1.70637
2018-03-01,1.95594
2018-04-01,2.22536
2018-05-01,2.44449
2018-06-01,2.48049
2018-07-01,1.93314
2018-08-01,1.59923
2018-09-01,1.74315
2018-10-01,1.65427
2018-11-01,1.94457
2018-12-01,1.81903
2019-01-01,1.65862
2019-02-01,1.44070
2019-03-01,1.37518
2019-04-01,1.56246
2019-05-01,1.62039
2019-06-01,1.46376
2019-07-01,2.00770
2019-08-01,2.69272
2019-09-01,2.73114
2019-10-01,3.50456
2019-11-01,3.43193
2019-12-01,3.85619
2020-01-01,3.72341
2020-02-01,3.89213
2020-03-01,3.99279
2020-04-01,3.99023
2020-05-01,3.98358
2020-06-01,4.15226
2020-07-01,4.09916
2020-08-01,3.53015
2020-09-01,3.32996
2020-10-01,2.20742
2020-11-01,1.81878
2020-12-01,1.19782
2021-01-01,1.53287
2021-02-01,1.68163
2021-03-01,1.52841
2021-04-01,1.37733
2021-05-01,1.00907
2021-06-01,0.62786
2021-07-01,0.56561
