DATE,TOTRA
1914-11-20,247.158
1914-11-27,270.018
1914-12-04,273.084
1914-12-11,272.476
1914-12-18,269.99
1914-12-24,271.683
1914-12-31,277.844
1915-01-08,287.301
1915-01-15,297.098
1915-01-22,304.538
1915-01-29,302.234
1915-02-05,322.224
1915-02-12,325.022
1915-02-19,326.454
1915-02-26,331.733
1915-03-05,330.357
1915-03-12,331.122
1915-03-19,333.181
1915-03-26,333.211
1915-04-02,339.674
1915-04-09,340.701
1915-04-16,341.179
1915-04-23,346.691
1915-04-30,347.603
1915-05-07,361.093
1915-05-14,366.266
1915-05-21,362.474
1915-05-28,360.247
1915-06-04,357.531
1915-06-11,371.281
1915-06-18,370.329
1915-06-25,381.456
1915-07-02,366.481
1915-07-09,365.387
1915-07-16,367.878
1915-07-23,371.163
1915-07-30,377.052
1915-08-06,377.469
1915-08-13,374.12
1915-08-20,382.468
1915-08-27,389.983
1915-09-03,388.274
1915-09-10,403.42
1915-09-17,406.188
1915-09-24,417.7
1915-10-01,411.637
1915-10-08,414.38
1915-10-15,415.872
1915-10-22,427.88
1915-10-29,429.951
1915-11-05,432.719
1915-11-12,446.192
1915-11-19,471.773
1915-11-26,485.342
1915-12-03,485.359
1915-12-10,482.073
1915-12-17,489.276
1915-12-23,490.808
1915-12-30,491.11
1916-01-07,499.087
1916-01-14,507.579
1916-01-21,511.326
1916-01-28,517.77
1916-02-04,513.997
1916-02-11,513.396
1916-02-18,509.551
1916-02-25,513.5
1916-03-03,519.456
1916-03-10,522.647
1916-03-17,521.608
1916-03-24,529.998
1916-03-31,523.364
1916-04-07,526.245
1916-04-14,527.544
1916-04-21,519.707
1916-04-28,519.635
1916-05-05,525.694
1916-05-12,531.193
1916-05-19,568.371
1916-05-26,585.35
1916-06-02,574.747
1916-06-09,583.791
1916-06-16,597.897
1916-06-23,603.201
1916-06-30,624.957
1916-07-07,646.362
1916-07-14,639.649
1916-07-21,613.523
1916-07-28,615.09
1916-08-04,615.367
1916-08-11,610.799
1916-08-18,624.193
1916-08-25,623.611
1916-09-01,607.402
1916-09-08,632.594
1916-09-15,627.742
1916-09-22,631.701
1916-09-29,632.741
1916-10-06,628.951
1916-10-13,638.253
1916-10-20,633.312
1916-10-27,651.136
1916-11-03,650.864
1916-11-10,650.946
1916-11-17,719.217
1916-11-24,735.06
1916-12-01,710.161
1916-12-08,715.316
1916-12-15,741.051
1916-12-22,750.56
1916-12-29,768.226
1917-01-05,869.73
1917-01-12,889.118
1917-01-19,877.819
1917-01-26,880.314
1917-02-02,881.991
1917-02-09,860.012
1917-02-16,894.032
1917-02-23,890.28
1917-03-02,915.691
1917-03-09,911.032
1917-03-16,942.226
1917-03-23,917.901
1917-03-30,914.48
1917-04-06,981.131
1917-04-13,984.889
1917-04-20,986.744
1917-04-27,1023.589
1917-05-04,1075.178
1917-05-11,1209.162
1917-05-18,1155.673
1917-05-25,1219.603
1917-06-01,1038.309
1917-06-08,1276.547
1917-06-15,1412.343
1917-06-22,1999.642
1917-06-29,2053.34
1917-07-06,2033.76
1917-07-13,2074.79
1917-07-20,2116.124
1917-07-27,2021.237
1917-08-03,1998.444
1917-08-10,1988.263
1917-08-17,2048.442
1917-08-24,2001.14
1917-08-31,2058.381
1917-09-07,2074.714
1917-09-14,2081.734
1917-09-21,2132.179
1917-09-28,2203.673
1917-10-05,2301.633
1917-10-12,2417.845
1917-10-19,2447.841
1917-10-26,2528.365
1917-11-02,2721.534
1917-11-09,2697.17
1917-11-16,3012.406
1917-11-23,2956.13
1917-11-30,3104.843
1917-12-07,3001.836
1917-12-14,3125.554
1917-12-21,3142.956
1917-12-28,3102.689
1918-01-04,3126.898
1918-01-11,3105.08
1918-01-18,3236.486
1918-01-25,3169.375
1918-02-01,3176.023
1918-02-08,3135.277
1918-02-15,3146.171
1918-02-21,3176.454
1918-03-01,3260.778
1918-03-08,3289.909
1918-03-15,3330.073
1918-03-22,3403.395
1918-03-29,3445.984
1918-04-05,3459.659
1918-04-12,3512.495
1918-04-19,3499.217
1918-04-26,3566.839
1918-05-03,3548.023
1918-05-10,3772.495
1918-05-17,3573.555
1918-05-24,3585.303
1918-05-31,3686.3
1918-06-07,3711.703
1918-06-14,3849.711
1918-06-21,3806.692
1918-06-28,3872.133
1918-07-05,4044.162
1918-07-12,4117.722
1918-07-19,4166.122
1918-07-26,4165.403
1918-08-02,4111.538
1918-08-09,4234.893
1918-08-16,4242.384
1918-08-23,4353.987
1918-08-30,4365.555
1918-09-06,4559.873
1918-09-13,4705.793
1918-09-20,4726.766
1918-09-27,4817.495
1918-10-04,4899.386
1918-10-10,5011.134
1918-10-18,5063.216
1918-10-25,5270.785
1918-11-01,5052.114
1918-11-08,5104.244
1918-11-15,5148.418
1918-11-22,5219.527
1918-11-29,5194.988
1918-12-06,5168.709
1918-12-13,5234.934
1918-12-20,5288.134
1918-12-27,5251.99
1919-01-03,5285.868
